seed,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
25,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,123,25
4,9,32,256,0.8666,1.0,az_good.ckpt,az_good.ckpt,30,6
19,9,32,256,0.9333,1.0,az_good.ckpt,az_good.ckpt,8,6
14,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,5,65
15,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,129,14
27,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,132,12
5,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,90,12
13,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,125,11
22,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,41,61
23,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,148,24
14,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,89,19
31,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,125,27
3,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,84,18
2,9,32,256,0.3666,1.0,az_good.ckpt,az_good.ckpt,111,5
24,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,69,43
26,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,129,12
28,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,113,12
22,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,88,23
16,9,32,256,0.8666,1.0,az_good.ckpt,az_good.ckpt,43,5
28,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,127,16
8,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,146,17
6,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,95,8
7,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,111,11
23,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,51,38
21,9,32,256,0.4333,1.0,az_good.ckpt,az_good.ckpt,109,13
1,9,32,256,0.9333,1.0,az_good.ckpt,az_good.ckpt,16,3
16,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,114,25
19,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,154,2
10,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,84,10
10,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,26,14
9,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,79,14
27,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,82,16
21,9,32,256,0.9333,1.0,az_good.ckpt,az_good.ckpt,15,1
1,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,108,33
12,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,14,5
6,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,77,31
31,9,32,256,0.1333,1.0,az_good.ckpt,az_good.ckpt,108,10
25,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,114,11
17,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,165,10
26,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,91,19
8,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,176,7
29,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,161,4
18,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,108,19
14,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,95,12
22,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,46,8
28,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,15,1
13,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,97,18
8,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,96,13
5,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,128,19
21,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,122,15
1,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,58,16
4,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,165,11
19,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,51,22
26,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,95,9
17,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,13,13
29,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,199,4
12,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,57,35
10,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,15,12
12,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,85,35
8,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,128,10
30,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,36,32
3,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,124,17
6,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,50,9
18,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,149,7
12,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,51,20
3,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,121,12
15,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,123,11
15,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,47,31
25,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,120,13
13,9,32,256,0.9333,1.0,az_good.ckpt,az_good.ckpt,11,8
24,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,103,3
14,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,88,20
31,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,83,7
22,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,76,11
3,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,69,11
4,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,112,7
18,9,32,256,0.9333,1.0,az_good.ckpt,az_good.ckpt,15,10
17,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,61,20
29,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,80,22
29,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,116,7
28,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,53,14
10,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,102,9
