seed,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
5,9,32,256,0.2,20.0,az_good.ckpt,az_good.ckpt,5,12
7,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,33,5
5,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,1,3
1,9,32,256,0.9,20.0,az_good.ckpt,az_good.ckpt,13,7
4,9,32,256,0.1,0.1,az_good.ckpt,az_good.ckpt,239,3
2,9,32,256,0.7333,0.1,az_good.ckpt,az_good.ckpt,29,7
10,9,32,256,0.9,20.0,az_good.ckpt,az_good.ckpt,4,15
3,9,32,256,1.0,0.1,az_good.ckpt,az_good.ckpt,13,10
6,9,32,256,0.9,20.0,az_good.ckpt,az_good.ckpt,4,0
9,9,32,256,0.8,0.1,az_good.ckpt,az_good.ckpt,9,7
10,9,32,256,0.8666,1.0,az_good.ckpt,az_good.ckpt,4,15
6,9,32,256,1.0,0.1,az_good.ckpt,az_good.ckpt,4,0
7,9,32,256,0.5,20.0,az_good.ckpt,az_good.ckpt,61,4
5,9,32,256,0.2,0.1,az_good.ckpt,az_good.ckpt,229,1
5,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,2,4
2,9,32,256,0.6,0.1,az_good.ckpt,az_good.ckpt,19,10
7,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,47,9
8,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,1,8
5,9,32,256,0.5,20.0,az_good.ckpt,az_good.ckpt,1,1
9,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,6,7
10,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,5,13
10,9,32,256,0.3333,0.1,az_good.ckpt,az_good.ckpt,225,7
8,9,32,256,0.8,20.0,az_good.ckpt,az_good.ckpt,3,8
4,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,233,2
8,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,1,8
5,9,32,256,0.2666,0.1,az_good.ckpt,az_good.ckpt,223,5
1,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,228,3
5,9,32,256,0.9333,1.0,az_good.ckpt,az_good.ckpt,38,17
3,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,232,2
7,9,32,256,0.0333,0.1,az_good.ckpt,az_good.ckpt,242,2
4,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,6,0
2,9,32,256,0.9666,0.1,az_good.ckpt,az_good.ckpt,35,6
5,9,32,256,0.9333,0.1,az_good.ckpt,az_good.ckpt,4,0
5,9,32,256,0.9,0.1,az_good.ckpt,az_good.ckpt,65,5
4,9,32,256,0.2,20.0,az_good.ckpt,az_good.ckpt,8,6
4,9,32,256,0.3666,1.0,az_good.ckpt,az_good.ckpt,19,25
6,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,240,0
