seed,sampling_method,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
5,dirichlet-sample,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,35,22
8,dirichlet-sample,9,32,256,0.3666,1.0,az_good.ckpt,az_good.ckpt,28,19
17,dirichlet-sample,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,22,31
14,dirichlet-sample,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,36,38
10,dirichlet-sample,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,38,29
2,dirichlet-sample,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,41,27
7,dirichlet-sample,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,28,50
19,dirichlet-sample,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,31,36
3,dirichlet-sample,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,22,44
5,dirichlet-sample,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,27,33
5,dirichlet-sample,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,25,52
7,dirichlet-sample,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,31,49
20,dirichlet-sample,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,40,36
19,dirichlet-sample,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,28,37
27,dirichlet-sample,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,31,26
18,dirichlet-sample,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,20,39
30,dirichlet-sample,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,45,33
23,dirichlet-sample,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,30,37
23,dirichlet-sample,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,30,37
5,dirichlet-sample,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,27,33
26,dirichlet-sample,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,41,37
24,dirichlet-sample,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,33,27
30,dirichlet-sample,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,47,40
8,dirichlet-sample,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,28,19
14,dirichlet-sample,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,36,38
14,dirichlet-sample,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,31,46
7,dirichlet-sample,9,32,256,0.8666,1.0,az_good.ckpt,az_good.ckpt,28,50
17,dirichlet-sample,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,23,33
23,dirichlet-sample,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,30,37
22,dirichlet-sample,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,26,46
23,dirichlet-sample,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,30,37
8,dirichlet-sample,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,28,19
15,dirichlet-sample,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,40,18
26,dirichlet-sample,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,51,29
12,dirichlet-sample,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,38,46
25,dirichlet-sample,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,28,31
2,dirichlet-sample,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,35,28
20,dirichlet-sample,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,36,32
6,dirichlet-sample,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,33,42
21,dirichlet-sample,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,52,27
29,dirichlet-sample,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,44,31
30,dirichlet-sample,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,45,33
9,dirichlet-sample,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,32,17
22,dirichlet-sample,9,32,256,0.1333,1.0,az_good.ckpt,az_good.ckpt,24,47
26,dirichlet-sample,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,41,37
13,dirichlet-sample,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,19,36
4,dirichlet-sample,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,42,43
9,dirichlet-sample,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,32,17
16,dirichlet-sample,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,25,34
1,dirichlet-sample,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,33,27
2,dirichlet-sample,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,35,28
9,dirichlet-sample,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,31,16
28,dirichlet-sample,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,42,39
29,dirichlet-sample,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,44,31
11,dirichlet-sample,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,35,31
21,dirichlet-sample,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,52,27
2,dirichlet-sample,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,34,26
17,dirichlet-sample,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,23,33
26,dirichlet-sample,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,37,41
30,dirichlet-sample,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,45,33
13,dirichlet-sample,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,22,32
22,dirichlet-sample,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,26,42
19,dirichlet-sample,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,27,35
22,dirichlet-sample,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,34,44
21,dirichlet-sample,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,52,27
22,dirichlet-sample,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,30,46
6,dirichlet-sample,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,31,38
28,dirichlet-sample,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,45,36
11,dirichlet-sample,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,36,32
12,dirichlet-sample,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,30,42
28,dirichlet-sample,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,45,36
7,dirichlet-sample,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,32,48
26,dirichlet-sample,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,49,29
27,dirichlet-sample,9,32,256,0.9333,1.0,az_good.ckpt,az_good.ckpt,31,26
13,dirichlet-sample,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,18,40
23,dirichlet-sample,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,30,37
18,dirichlet-sample,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,20,39
18,dirichlet-sample,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,20,39
27,dirichlet-sample,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,27,47
3,dirichlet-sample,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,22,45
16,dirichlet-sample,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,27,30
16,dirichlet-sample,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,28,28
23,dirichlet-sample,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,29,36
