seed,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
31,9,32,256,1.3,1.0,az_good.ckpt,az_good.ckpt,118,9
14,9,32,256,3.0,1.0,az_good.ckpt,az_good.ckpt,36,21
3,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,172,11
4,9,32,256,2.1,1.0,az_good.ckpt,az_good.ckpt,4,8
12,9,32,256,2.9,1.0,az_good.ckpt,az_good.ckpt,13,4
5,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,220,8
19,9,32,256,2.1,1.0,az_good.ckpt,az_good.ckpt,93,5
26,9,32,256,1.6,1.0,az_good.ckpt,az_good.ckpt,20,9
6,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,110,15
13,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,125,6
27,9,32,256,2.8,1.0,az_good.ckpt,az_good.ckpt,82,11
30,9,32,256,2.8,1.0,az_good.ckpt,az_good.ckpt,11,10
21,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,111,9
4,9,32,256,2.8,1.0,az_good.ckpt,az_good.ckpt,4,4
31,9,32,256,1.7,1.0,az_good.ckpt,az_good.ckpt,66,4
18,9,32,256,2.9,1.0,az_good.ckpt,az_good.ckpt,26,7
27,9,32,256,1.1,1.0,az_good.ckpt,az_good.ckpt,55,9
12,9,32,256,2.3,1.0,az_good.ckpt,az_good.ckpt,131,11
12,9,32,256,1.2,1.0,az_good.ckpt,az_good.ckpt,94,5
30,9,32,256,2.7,1.0,az_good.ckpt,az_good.ckpt,7,2
23,9,32,256,1.4,1.0,az_good.ckpt,az_good.ckpt,128,20
4,9,32,256,1.4,1.0,az_good.ckpt,az_good.ckpt,89,8
31,9,32,256,2.8,1.0,az_good.ckpt,az_good.ckpt,2,2
17,9,32,256,1.8,1.0,az_good.ckpt,az_good.ckpt,113,13
10,9,32,256,1.7,1.0,az_good.ckpt,az_good.ckpt,8,0
5,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,171,15
7,9,32,256,2.0,1.0,az_good.ckpt,az_good.ckpt,91,9
7,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,153,12
23,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,57,11
4,9,32,256,3.0,1.0,az_good.ckpt,az_good.ckpt,2,5
22,9,32,256,2.9,1.0,az_good.ckpt,az_good.ckpt,15,15
30,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,213,5
6,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,178,12
7,9,32,256,2.7,1.0,az_good.ckpt,az_good.ckpt,19,9
12,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,88,12
29,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,165,14
20,9,32,256,2.4,1.0,az_good.ckpt,az_good.ckpt,4,7
12,9,32,256,1.1,1.0,az_good.ckpt,az_good.ckpt,138,20
13,9,32,256,2.8,1.0,az_good.ckpt,az_good.ckpt,9,28
31,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,107,11
30,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,149,23
24,9,32,256,3.0,1.0,az_good.ckpt,az_good.ckpt,43,9
15,9,32,256,1.5,1.0,az_good.ckpt,az_good.ckpt,126,9
7,9,32,256,2.5,1.0,az_good.ckpt,az_good.ckpt,12,7
21,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,203,10
17,9,32,256,2.5,1.0,az_good.ckpt,az_good.ckpt,89,8
10,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,83,3
7,9,32,256,1.2,1.0,az_good.ckpt,az_good.ckpt,98,7
4,9,32,256,1.8,1.0,az_good.ckpt,az_good.ckpt,43,17
28,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,215,13
7,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,136,8
22,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,204,11
6,9,32,256,2.3,1.0,az_good.ckpt,az_good.ckpt,14,0
25,9,32,256,1.6,1.0,az_good.ckpt,az_good.ckpt,48,20
30,9,32,256,1.8,1.0,az_good.ckpt,az_good.ckpt,61,10
28,9,32,256,2.0,1.0,az_good.ckpt,az_good.ckpt,41,37
27,9,32,256,1.8,1.0,az_good.ckpt,az_good.ckpt,105,5
2,9,32,256,1.1,1.0,az_good.ckpt,az_good.ckpt,148,23
28,9,32,256,1.8,1.0,az_good.ckpt,az_good.ckpt,20,13
24,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,187,11
26,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,77,47
26,9,32,256,1.1,1.0,az_good.ckpt,az_good.ckpt,108,9
3,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,207,12
10,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,170,4
31,9,32,256,3.0,1.0,az_good.ckpt,az_good.ckpt,2,2
17,9,32,256,1.1,1.0,az_good.ckpt,az_good.ckpt,114,18
6,9,32,256,1.8,1.0,az_good.ckpt,az_good.ckpt,12,7
24,9,32,256,2.5,1.0,az_good.ckpt,az_good.ckpt,11,8
9,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,229,1
6,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,153,18
3,9,32,256,1.4,1.0,az_good.ckpt,az_good.ckpt,146,18
27,9,32,256,3.0,1.0,az_good.ckpt,az_good.ckpt,107,12
27,9,32,256,1.9,1.0,az_good.ckpt,az_good.ckpt,5,2
15,9,32,256,2.7,1.0,az_good.ckpt,az_good.ckpt,7,1
13,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,116,11
22,9,32,256,1.6,1.0,az_good.ckpt,az_good.ckpt,61,23
28,9,32,256,2.3,1.0,az_good.ckpt,az_good.ckpt,24,11
2,9,32,256,1.6,1.0,az_good.ckpt,az_good.ckpt,40,9
26,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,173,10
1,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,127,14
7,9,32,256,1.5,1.0,az_good.ckpt,az_good.ckpt,136,17
20,9,32,256,1.4,1.0,az_good.ckpt,az_good.ckpt,161,11
16,9,32,256,1.6,1.0,az_good.ckpt,az_good.ckpt,155,25
6,9,32,256,1.5,1.0,az_good.ckpt,az_good.ckpt,113,15
10,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,203,3
8,9,32,256,1.3,1.0,az_good.ckpt,az_good.ckpt,19,9
29,9,32,256,2.1,1.0,az_good.ckpt,az_good.ckpt,42,26
